"","position","coding","noncoding","cod","noncod","weighted_cod","weighted_noncod"
"31",1260000,651,95,88687,7013,0.00734042193331604,0.0135462712106089
"32",1270000,620,79,94454,8390,0.0065640417557753,0.00941597139451728
"33",1280000,455,70,82066,9312,0.00554431798796091,0.00751718213058419
"34",1290000,977,77,75699,12877,0.012906379212407,0.00597965364603557
"35",130000,1559,94,109543,10216,0.014231854157728,0.00920125293657009
"36",1300000,394,33,65594,6666,0.0060066469494161,0.00495049504950495
"37",1310000,259,57,70853,8377,0.00365545566172216,0.00680434523098961
"38",1320000,456,44,60524,6826,0.00753420130857181,0.00644594198652212
"39",1330000,284,26,64921,5526,0.00437454752699435,0.00470503076366269
"40",1340000,403,36,70768,7572,0.00569466425503052,0.00475435816164818
"41",1350000,526,39,80232,9979,0.00655598763585602,0.00390820723519391
"42",1360000,559,12,68979,5157,0.00810391568448368,0.00232693426410704
"43",1370000,416,43,62829,4667,0.00662114628595075,0.00921362759802871
"44",1380000,460,46,71515,6912,0.00643221701740894,0.00665509259259259
"45",1390000,509,33,69161,5799,0.00735963910296265,0.00569063631660631
"46",140000,710,81,118036,11663,0.00601511403300688,0.00694503986967333
"47",1400000,277,26,68697,7604,0.00403219936824024,0.00341925302472383
"48",1410000,426,77,72946,11495,0.00583993639130316,0.00669856459330144
"49",1420000,476,43,76342,7294,0.00623509994498441,0.00589525637510282
"50",1430000,434,76,57363,6286,0.00756585255303942,0.0120903595291123
"51",1440000,535,66,74871,6417,0.00714562380628013,0.0102851799906498
"52",1450000,760,42,58256,6949,0.0130458665201868,0.00604403511296589
"53",1460000,477,42,49086,5995,0.00971763843050972,0.00700583819849875
"54",1470000,690,110,72119,6286,0.0095675203483132,0.0174992045816099
"55",1480000,1053,61,59673,5462,0.017646171635413,0.011168070303918
"56",1490000,511,24,70143,5991,0.00728511754558545,0.00400600901352028
"57",150000,670,59,114574,11497,0.00584774905301377,0.00513177350613203
"58",1500000,431,20,76314,6155,0.00564771863616112,0.00324939073923639
"59",1510000,587,71,80521,9771,0.00729002372052011,0.00726640057312455
"60",1520000,457,19,71511,5461,0.00639062521849785,0.0034792162607581
"61",1530000,659,59,74735,6934,0.00881782297450994,0.00850879723103548
"62",1540000,472,49,75891,6550,0.00621944631115679,0.00748091603053435
"63",1550000,519,34,53608,6362,0.00968139083718848,0.00534423137378183
"64",1560000,352,112,60213,4860,0.00584591367312707,0.0230452674897119
"65",1570000,565,80,71374,8881,0.00791604786056547,0.00900799459520324
"66",1580000,709,110,127184,16522,0.00557460057868914,0.0066577896138482
"67",1590000,653,149,95586,11891,0.00683154436842215,0.0125304852409385
"68",160000,685,134,117021,18973,0.00585365019953684,0.00706266800189743
"69",1600000,848,61,108746,9455,0.00779798797197138,0.00645161290322581
"70",1610000,831,64,130179,8672,0.00638351807895283,0.00738007380073801
"71",1620000,795,64,130230,10700,0.00610458419718959,0.00598130841121495
"72",1630000,603,50,129914,8408,0.00464153209045984,0.00594671741198858
"73",1640000,827,46,120162,9251,0.00688237545979594,0.00497243541238785
"74",1650000,1577,266,128143,10265,0.0123065637607985,0.0259132976132489
"75",1660000,1050,173,133851,18908,0.00784454355962974,0.00914956632113391
"76",1670000,968,80,153577,12971,0.00630302714599191,0.00616760465654152
"77",1680000,688,111,136942,8697,0.00502402476961049,0.0127630217316316
"78",1690000,818,95,141303,12659,0.00578897829486989,0.0075045422229244
"79",170000,777,161,123556,12173,0.00628864644371783,0.0132259919493962
"80",1700000,1016,149,138894,12929,0.00731493081054617,0.0115244798514966
"81",1710000,1083,167,142364,15926,0.00760726026242589,0.0104859977395454
"82",1720000,1206,128,139734,11577,0.00863068401391215,0.011056404940831
"83",1730000,3046,310,118369,9322,0.0257330888999654,0.033254666380605
"84",1740000,1391,95,128541,8540,0.0108214499653807,0.0111241217798595
"85",1750000,1208,77,135882,8538,0.0088900663811248,0.00901850550480206
"86",1760000,762,88,114778,11793,0.00663890292564777,0.0074620537607055
"87",1770000,598,37,136709,12279,0.00437425480399974,0.00301327469663653
"88",1780000,915,27,151798,11018,0.00602774740115153,0.00245053548738428
"89",1790000,985,68,152275,13077,0.00646856017074372,0.00519996941194464
"90",180000,836,117,112468,12485,0.00743322545079489,0.00937124549459351
"91",1800000,867,246,110765,42684,0.00782738229585158,0.00576328366601068
